DATE,CPIAUCSL_NBD20230101
2018-01-01,82.68825
2018-07-01,83.41535
2019-01-01,84.11599
2019-07-01,84.99888
2020-01-01,85.18835
2020-07-01,86.04263
2021-01-01,88.02841
2021-07-01,91.22056
2022-01-01,95.32773
2022-07-01,98.23692
2023-01-01,100.00000
2023-07-01,.
